Temperature (C),Pressure (bar),Density (kg/m3),Cp (kJ/kg*K),Therm. Cond. (mW/m*K),Viscosity (?Pa*s)
50,200,784.29,2.3714,87.069,68.674
60,200,723.68,2.5019,78.922,60.042
70,200,659.05,2.6021,71.378,52.43
80,200,593.89,2.6109,64.68,46.01
90,200,533.17,2.5092,59.017,40.944
100,200,480.53,2.3404,54.456,37.19
110,200,436.85,2.1552,50.923,34.514
120,200,401.15,1.9865,48.27,32.637
130,200,371.88,1.8454,46.323,31.323
140,200,347.58,1.7312,44.919,30.404
150,200,327.1,1.6398,43.925,29.765
160,200,309.6,1.5663,43.231,29.328
170,200,294.43,1.507,42.737,29.042
180,200,281.13,1.4587,42.297,28.868
190,200,269.35,1.419,42.389,28.782
200,200,258.82,1.3863,42.572,28.764
210,200,249.32,1.359,42.828,28.8
220,200,240.71,1.3362,43.143,28.879
230,200,232.84,1.3171,43.508,28.994
240,200,225.61,1.301,43.915,29.138
250,200,218.95,1.2875,44.356,29.306
260,200,212.77,1.276,44.827,29.494
270,200,207.02,1.2663,45.322,29.699
280,200,201.65,1.2582,45.839,29.918
290,200,196.62,1.2513,46.375,30.148
300,200,191.9,1.2455,46.926,30.389
310,200,187.45,1.2407,47.492,30.639
320,200,183.25,1.2367,48.069,30.896
330,200,179.27,1.2335,48.657,31.159
340,200,175.5,1.2308,49.255,31.427
350,200,171.92,1.2288,49.86,31.7
360,200,168.51,1.2272,50.472,31.976
370,200,165.26,1.226,51.09,32.256
380,200,162.16,1.2252,51.713,32.538
390,200,159.19,1.2247,52.341,32.823
400,200,156.35,1.2246,52.973,33.109
410,200,153.62,1.2246,53.608,33.397
420,200,151.01,1.2249,54.246,33.686
430,200,148.49,1.2254,54.887,33.976
440,200,146.07,1.2261,55.529,34.267
450,200,143.75,1.227,56.173,34.558
460,200,141.5,1.228,56.819,34.849
470,200,139.34,1.2291,57.465,35.141
480,200,137.25,1.2303,58.112,35.432
490,200,135.23,1.2316,58.76,35.723
500,200,133.28,1.233,59.408,36.014
510,200,131.39,1.2344,60.056,36.305
520,200,129.56,1.236,60.704,36.595
530,200,127.78,1.2375,61.351,36.885
540,200,126.06,1.2392,61.999,37.174
550,200,124.4,1.2409,62.645,37.462
560,200,122.78,1.2426,63.291,37.75
570,200,121.2,1.2443,63.936,38.037
580,200,119.67,1.2461,64.579,38.323
590,200,118.19,1.2479,65.222,38.608
600,200,116.74,1.2497,65.864,38.892
610,200,115.33,1.2515,66.504,39.175
620,200,113.96,1.2533,67.143,39.458
630,200,112.63,1.2551,67.78,39.739
640,200,111.33,1.257,68.416,40.019
650,200,110.06,1.2588,69.051,40.299
660,200,108.82,1.2606,69.683,40.577
670,200,107.61,1.2624,70.315,40.854
680,200,106.43,1.2643,70.944,41.13
690,200,105.28,1.2661,71.572,41.405
700,200,104.16,1.2679,72.197,41.679
710,200,103.06,1.2697,72.821,41.952
720,200,101.99,1.2715,73.443,42.224
730,200,100.94,1.2733,74.063,42.495
740,200,99.911,1.275,74.682,42.765
750,200,98.907,1.2768,75.298,43.034
760,200,97.924,1.2785,75.912,43.301
770,200,96.963,1.2803,76.524,43.568
780,200,96.021,1.282,77.135,43.833
790,200,95.098,1.2837,77.743,44.098
800,200,94.195,1.2854,78.349,44.361
810,200,93.309,1.287,78.953,44.623
820,200,92.441,1.2887,79.555,44.885
830,200,91.59,1.2903,80.155,45.145
840,200,90.756,1.2919,80.753,45.404
850,200,89.938,1.2935,81.349,45.662
860,200,89.135,1.2951,81.942,45.919
870,200,88.347,1.2967,82.534,46.176
880,200,87.574,1.2982,83.124,46.431
890,200,86.816,1.2997,83.711,46.685
900,200,86.071,1.3012,84.296,46.938
910,200,85.339,1.3027,84.879,47.19
920,200,84.62,1.3042,85.461,47.441
930,200,83.915,1.3057,86.04,47.692
940,200,83.221,1.3071,86.616,47.941
950,200,82.539,1.3085,87.191,48.189
960,200,81.869,1.3099,87.764,48.437
970,200,81.211,1.3113,88.335,48.684
980,200,80.563,1.3127,88.903,48.929
990,200,79.926,1.314,89.47,49.174
1000,200,79.3,1.3154,90.035,49.418
1010,200,78.684,1.3167,90.597,49.661
1020,200,78.078,1.318,91.158,49.903
1030,200,77.481,1.3193,91.716,50.144
1040,200,76.894,1.3205,92.272,50.385
1050,200,76.317,1.3218,92.827,50.624
1060,200,75.748,1.323,93.379,50.863
1070,200,75.188,1.3242,93.93,51.101
1080,200,74.636,1.3254,94.478,51.338
1090,200,74.093,1.3266,95.025,51.575
1100,200,73.559,1.3278,95.569,51.81
1110,200,73.032,1.329,96.112,52.045
1120,200,72.513,1.3301,96.652,52.279
1130,200,72.001,1.3312,97.191,52.512
1140,200,71.497,1.3323,97.728,52.745
1150,200,71.001,1.3334,98.263,52.977
1160,200,70.511,1.3345,98.796,53.208
1170,200,70.028,1.3356,99.327,53.438
1180,200,69.553,1.3366,99.856,53.668
1190,200,69.083,1.3377,100.38,53.897
1200,200,68.621,1.3387,100.91,54.125
1210,200,68.164,1.3397,101.43,54.353
1220,200,67.714,1.3407,101.96,54.58
1230,200,67.27,1.3417,102.48,54.806
1240,200,66.833,1.3427,102.99,55.031
1250,200,66.4,1.3437,103.51,55.256
1260,200,65.974,1.3446,104.02,55.481
1270,200,65.553,1.3456,104.54,55.704
1280,200,65.138,1.3465,105.05,55.928
1290,200,64.728,1.3474,105.56,56.15
1300,200,64.324,1.3483,106.07,56.372
