Temperature (K),Pressure (bar),Density (kg/m3),Cp (J/mol*K),Viscosity (Pa*s),Therm. Cond. (W/m*K)
100,1.0132,0.48707,20.791,9.78E-06,0.073714
150,1.0132,0.32487,20.787,1.25E-05,0.096938
200,1.0132,0.24372,20.786,1.51E-05,0.11798
250,1.0132,0.19501,20.786,1.76E-05,0.13754
300,1.0132,0.16252,20.785,1.99E-05,0.15597
350,1.0132,0.13931,20.785,2.22E-05,0.17353
400,1.0132,0.12191,20.785,2.43E-05,0.19037
450,1.0132,0.10837,20.785,2.64E-05,0.20659
500,1.0132,0.097533,20.785,2.84E-05,0.2223
550,1.0132,0.088669,20.785,3.03E-05,0.23755
600,1.0132,0.081281,20.785,3.22E-05,0.2524
650,1.0132,0.07503,20.785,3.41E-05,0.26689
700,1.0132,0.069672,20.786,3.59E-05,0.28105
750,1.0132,0.065028,20.786,3.77E-05,0.29492
800,1.0132,0.060965,20.786,3.94E-05,0.30852
850,1.0132,0.057379,20.786,4.12E-05,0.32187
900,1.0132,0.054192,20.786,4.28E-05,0.33499
950,1.0132,0.05134,20.786,4.45E-05,0.34789
1000,1.0132,0.048773,20.786,4.62E-05,0.3606
1050,1.0132,0.046451,20.786,4.78E-05,0.37312
1100,1.0132,0.04434,20.786,4.94E-05,0.38547
1150,1.0132,0.042412,20.786,5.10E-05,0.39765
1200,1.0132,0.040645,20.786,5.25E-05,0.40968
1250,1.0132,0.03902,20.786,5.41E-05,0.42156
1300,1.0132,0.037519,20.786,5.56E-05,0.4333
