T,rho,Cp,Mu,k
273.15,1000,4.217,0.00175,0.569
275,1000,4.211,0.001652,0.574
280,1000,4.198,0.001422,0.582
285,1000,4.189,0.001225,0.59
290,999.000999,4.184,0.00108,0.598
295,998.003992,4.181,0.000959,0.606
300,997.0089731,4.179,0.000855,0.613
305,995.0248756,4.178,0.000769,0.62
310,993.0486594,4.178,0.000695,0.628
315,991.0802775,4.179,0.000631,0.634
320,989.1196835,4.18,0.000577,0.64
325,987.1668312,4.182,0.000528,0.645
330,984.2519685,4.184,0.000489,0.65
335,982.3182711,4.186,0.000453,0.656
340,979.4319295,4.188,0.00042,0.66
345,976.5625,4.191,0.000389,0.668
350,973.7098345,4.195,0.000365,0.668
355,970.8737864,4.199,0.000343,0.671
360,967.1179884,4.203,0.000324,0.674
365,963.3911368,4.209,0.000306,0.677
370,960.6147935,4.214,0.000289,0.679
373.15,957.8544061,4.217,0.000279,0.68
375,956.937799,4.22,0.000274,0.681
380,953.2888465,4.226,0.00026,0.683
385,949.6676163,4.232,0.000248,0.685
390,945.1795841,4.239,0.000237,0.686
400,937.2071228,4.256,0.000217,0.688
410,928.5051068,4.278,0.0002,0.688
420,919.1176471,4.302,0.000185,0.688
430,909.9181074,4.331,0.000173,0.685
